"","no","ka"
"1506","1506","執"
"1507","1507","報"
"1508","1508","叫"
"1509","1509","糾"
"1510","1510","収"
"1511","1511","卑"
"1512","1512","碑"
"1513","1513","陸"
"1514","1514","睦"
"1515","1515","勢"
"1516","1516","熱"
"1517","1517","菱"
"1518","1518","陵"
"1519","1519","亥"
"1520","1520","核"
"1521","1521","刻"
"1522","1522","該"
"1523","1523","劾"
"1524","1524","述"
"1525","1525","術"
"1526","1526","寒"
"1527","1527","醸"
"1528","1528","譲"
"1529","1529","壌"
"1530","1530","嬢"
"1531","1531","毒"
"1532","1532","素"
"1533","1533","麦"
"1534","1534","青"
"1535","1535","精"
"1536","1536","請"
"1537","1537","情"
"1538","1538","晴"
"1539","1539","清"
"1540","1540","静"
"1541","1541","責"
"1542","1542","績"
"1543","1543","積"
"1544","1544","債"
"1545","1545","漬"
"1546","1546","表"
"1547","1547","俵"
"1548","1548","潔"
"1549","1549","契"
"1550","1550","喫"
"1551","1551","害"
"1552","1552","轄"
"1553","1553","割"
"1554","1554","憲"
"1555","1555","生"
"1556","1556","星"
"1557","1557","姓"
"1558","1558","性"
"1559","1559","牲"
"1560","1560","産"
"1561","1561","隆"
"1562","1562","峰"
"1563","1563","縫"
"1564","1564","拝"
"1565","1565","寿"
"1566","1566","鋳"
"1567","1567","籍"
"1568","1568","春"
"1569","1569","椿"
"1570","1570","泰"
"1571","1571","奏"
"1572","1572","実"
"1573","1573","奉"
"1574","1574","俸"
"1575","1575","棒"
"1576","1576","謹"
"1577","1577","勤"
"1578","1578","漢"
"1579","1579","嘆"
"1580","1580","難"
"1581","1581","華"
"1582","1582","垂"
"1583","1583","睡"
"1584","1584","錘"
"1585","1585","乗"
"1586","1586","剰"
"1587","1587","今"
"1588","1588","含"
"1589","1589","吟"
"1590","1590","念"
"1591","1591","琴"
"1592","1592","陰"
"1593","1593","予"
"1594","1594","序"
"1595","1595","預"
"1596","1596","野"
"1597","1597","兼"
"1598","1598","嫌"
"1599","1599","鎌"
"1600","1600","謙"
"1601","1601","廉"
"1602","1602","西"
"1603","1603","価"
"1604","1604","要"
"1605","1605","腰"
"1606","1606","票"
"1607","1607","漂"
"1608","1608","標"
"1609","1609","栗"
"1610","1610","遷"
"1611","1611","覆"
"1612","1612","煙"
"1613","1613","南"
"1614","1614","楠"
"1615","1615","献"
"1616","1616","門"
"1617","1617","問"
"1618","1618","閲"
"1619","1619","閥"
"1620","1620","間"
"1621","1621","簡"
"1622","1622","開"
"1623","1623","閉"
"1624","1624","閣"
"1625","1625","閑"
"1626","1626","聞"
"1627","1627","潤"
"1628","1628","欄"
"1629","1629","闘"
"1630","1630","倉"
"1631","1631","創"
"1632","1632","非"
"1633","1633","俳"
"1634","1634","排"
"1635","1635","悲"
"1636","1636","罪"
"1637","1637","輩"
"1638","1638","扉"
"1639","1639","侯"
"1640","1640","候"
"1641","1641","決"
"1642","1642","快"
"1643","1643","偉"
"1644","1644","違"
"1645","1645","緯"
"1646","1646","衛"
"1647","1647","韓"
"1648","1648","干"
"1649","1649","肝"
"1650","1650","刊"
"1651","1651","汗"
"1652","1652","軒"
"1653","1653","岸"
"1654","1654","幹"
"1655","1655","芋"
"1656","1656","宇"
"1657","1657","余"
"1658","1658","除"
"1659","1659","徐"
"1660","1660","叙"
"1661","1661","途"
"1662","1662","斜"
"1663","1663","塗"
"1664","1664","束"
"1665","1665","頼"
"1666","1666","瀬"
"1667","1667","勅"
"1668","1668","疎"
"1669","1669","速"
"1670","1670","整"
"1671","1671","剣"
"1672","1672","険"
"1673","1673","検"
"1674","1674","倹"
"1675","1675","重"
"1676","1676","動"
"1677","1677","勲"
"1678","1678","働"
"1679","1679","種"
"1680","1680","衝"
"1681","1681","薫"
"1682","1682","病"
"1683","1683","痴"
"1684","1684","痘"
"1685","1685","症"
"1686","1686","疾"
"1687","1687","痢"
"1688","1688","疲"
"1689","1689","疫"
"1690","1690","痛"
"1691","1691","癖"
"1692","1692","匿"
"1693","1693","匠"
"1694","1694","医"
"1695","1695","匹"
"1696","1696","区"
"1697","1697","枢"
"1698","1698","殴"
"1699","1699","欧"
"1700","1700","抑"
"1701","1701","仰"
"1702","1702","迎"
"1703","1703","登"
"1704","1704","澄"
"1705","1705","発"
"1706","1706","廃"
"1707","1707","僚"
"1708","1708","寮"
"1709","1709","療"
"1710","1710","彫"
"1711","1711","形"
"1712","1712","影"
"1713","1713","杉"
"1714","1714","彩"
"1715","1715","彰"
"1716","1716","彦"
"1717","1717","顔"
"1718","1718","須"
"1719","1719","膨"
"1720","1720","参"
"1721","1721","惨"
"1722","1722","修"
"1723","1723","珍"
"1724","1724","診"
"1725","1725","文"
"1726","1726","対"
"1727","1727","紋"
"1728","1728","蚊"
"1729","1729","斉"
"1730","1730","剤"
"1731","1731","済"
"1732","1732","斎"
"1733","1733","粛"
"1734","1734","塁"
"1735","1735","楽"
"1736","1736","薬"
"1737","1737","率"
"1738","1738","渋"
"1739","1739","摂"
"1740","1740","央"
"1741","1741","英"
"1742","1742","映"
"1743","1743","赤"
"1744","1744","赦"
"1745","1745","変"
"1746","1746","跡"
"1747","1747","蛮"
"1748","1748","恋"
"1749","1749","湾"
"1750","1750","黄"
"1751","1751","横"
"1752","1752","把"
"1753","1753","色"
"1754","1754","絶"
"1755","1755","艶"
"1756","1756","肥"
"1757","1757","甘"
"1758","1758","紺"
"1759","1759","某"
"1760","1760","謀"
"1761","1761","媒"
"1762","1762","欺"
"1763","1763","棋"
"1764","1764","旗"
"1765","1765","期"
"1766","1766","碁"
"1767","1767","基"
"1768","1768","甚"
"1769","1769","勘"
"1770","1770","堪"
"1771","1771","貴"
"1772","1772","遺"
"1773","1773","遣"
"1774","1774","舞"
"1775","1775","無"
"1776","1776","組"
"1777","1777","粗"
"1778","1778","租"
"1779","1779","祖"
"1780","1780","阻"
"1781","1781","査"
"1782","1782","助"
"1783","1783","宜"
"1784","1784","畳"
"1785","1785","並"
"1786","1786","普"
"1787","1787","譜"
"1788","1788","湿"
"1789","1789","顕"
"1790","1790","繊"
"1791","1791","霊"
"1792","1792","業"
"1793","1793","撲"
"1794","1794","僕"
"1795","1795","共"
"1796","1796","供"
"1797","1797","異"
"1798","1798","翼"
"1799","1799","洪"
"1800","1800","港"
"1801","1801","暴"
"1802","1802","爆"
"1803","1803","恭"
"1804","1804","選"
"1805","1805","殿"
"1806","1806","井"
"1807","1807","囲"
"1808","1808","耕"
"1809","1809","亜"
"1810","1810","悪"
"1811","1811","円"
"1812","1812","角"
"1813","1813","触"
"1814","1814","解"
"1815","1815","再"
"1816","1816","講"
"1817","1817","購"
"1818","1818","構"
"1819","1819","溝"
"1820","1820","論"
"1821","1821","倫"
"1822","1822","輪"
"1823","1823","偏"
"1824","1824","遍"
"1825","1825","編"
"1826","1826","冊"
"1827","1827","典"
"1828","1828","氏"
"1829","1829","紙"
"1830","1830","婚"
"1831","1831","低"
"1832","1832","抵"
"1833","1833","底"
"1834","1834","民"
"1835","1835","眠"
"1836","1836","捕"
"1837","1837","浦"
"1838","1838","蒲"
"1839","1839","舗"
"1840","1840","補"
"1841","1841","邸"
"1842","1842","郭"
"1843","1843","郡"
"1844","1844","郊"
"1845","1845","部"
"1846","1846","都"
"1847","1847","郵"
"1848","1848","邦"
"1849","1849","郷"
"1850","1850","響"
"1851","1851","郎"
"1852","1852","廊"
"1853","1853","盾"
"1854","1854","循"
"1855","1855","派"
"1856","1856","脈"
"1857","1857","衆"
"1858","1858","逓"
"1859","1859","段"
"1860","1860","鍛"
"1861","1861","后"
"1862","1862","幻"
"1863","1863","司"
"1864","1864","伺"
"1865","1865","詞"
"1866","1866","飼"
"1867","1867","嗣"
"1868","1868","舟"
"1869","1869","舶"
"1870","1870","航"
"1871","1871","般"
"1872","1872","盤"
"1873","1873","搬"
"1874","1874","船"
"1875","1875","艦"
"1876","1876","艇"
"1877","1877","瓜"
"1878","1878","弧"
"1879","1879","孤"
"1880","1880","繭"
"1881","1881","益"
"1882","1882","暇"
"1883","1883","敷"
"1884","1884","来"
"1885","1885","気"
"1886","1886","汽"
"1887","1887","飛"
"1888","1888","沈"
"1889","1889","妻"
"1890","1890","衰"
"1891","1891","衷"
"1892","1892","面"
"1893","1893","革"
"1894","1894","靴"
"1895","1895","覇"
"1896","1896","声"
"1897","1897","呉"
"1898","1898","娯"
"1899","1899","誤"
"1900","1900","蒸"
"1901","1901","承"
"1902","1902","函"
"1903","1903","極"
"1904","1904","牙"
"1905","1905","芽"
"1906","1906","邪"
"1907","1907","雅"
"1908","1908","釈"
"1909","1909","番"
"1910","1910","審"
"1911","1911","翻"
"1912","1912","藩"
"1913","1913","毛"
"1914","1914","耗"
"1915","1915","尾"
"1916","1916","宅"
"1917","1917","託"
"1918","1918","為"
"1919","1919","偽"
"1920","1920","長"
"1921","1921","張"
"1922","1922","帳"
"1923","1923","脹"
"1924","1924","髪"
"1925","1925","展"
"1926","1926","喪"
"1927","1927","巣"
"1928","1928","単"
"1929","1929","戦"
"1930","1930","禅"
"1931","1931","弾"
"1932","1932","桜"
"1933","1933","獣"
"1934","1934","脳"
"1935","1935","悩"
"1936","1936","厳"
"1937","1937","鎖"
"1938","1938","挙"
"1939","1939","誉"
"1940","1940","猟"
"1941","1941","鳥"
"1942","1942","鳴"
"1943","1943","鶴"
"1944","1944","烏"
"1945","1945","蔦"
"1946","1946","鳩"
"1947","1947","鶏"
"1948","1948","島"
"1949","1949","暖"
"1950","1950","媛"
"1951","1951","援"
"1952","1952","緩"
"1953","1953","属"
"1954","1954","嘱"
"1955","1955","偶"
"1956","1956","遇"
"1957","1957","愚"
"1958","1958","隅"
"1959","1959","逆"
"1960","1960","塑"
"1961","1961","岡"
"1962","1962","鋼"
"1963","1963","綱"
"1964","1964","剛"
"1965","1965","缶"
"1966","1966","陶"
"1967","1967","揺"
"1968","1968","謡"
"1969","1969","就"
"1970","1970","懇"
"1971","1971","墾"
"1972","1972","免"
"1973","1973","逸"
"1974","1974","晩"
"1975","1975","勉"
"1976","1976","象"
"1977","1977","像"
"1978","1978","馬"
"1979","1979","駒"
"1980","1980","験"
"1981","1981","騎"
"1982","1982","駐"
"1983","1983","駆"
"1984","1984","駅"
"1985","1985","騒"
"1986","1986","駄"
"1987","1987","驚"
"1988","1988","篤"
"1989","1989","騰"
"1990","1990","虎"
"1991","1991","虜"
"1992","1992","膚"
"1993","1993","虚"
"1994","1994","戯"
"1995","1995","虞"
"1996","1996","慮"
"1997","1997","劇"
"1998","1998","虐"
"1999","1999","鹿"
"2000","2000","薦"
"2001","2001","慶"
"2002","2002","麗"
"2003","2003","熊"
"2004","2004","能"
"2005","2005","態"
"2006","2006","寅"
"2007","2007","演"
"2008","2008","辰"
"2009","2009","辱"
"2010","2010","震"
"2011","2011","振"
"2012","2012","娠"
"2013","2013","唇"
"2014","2014","農"
"2015","2015","濃"
"2016","2016","送"
"2017","2017","関"
"2018","2018","咲"
"2019","2019","鬼"
"2020","2020","醜"
"2021","2021","魂"
"2022","2022","魔"
"2023","2023","魅"
"2024","2024","塊"
"2025","2025","襲"
"2026","2026","嚇"
"2027","2027","朕"
"2028","2028","雰"
"2029","2029","箇"
"2030","2030","錬"
"2031","2031","遵"
"2032","2032","罷"
"2033","2033","屯"
"2034","2034","且"
"2035","2035","藻"
"2036","2036","隷"
"2037","2037","癒"
"2038","2038","丹"
"2039","2039","潟"
"2040","2040","丑"
"2041","2041","卯"
"2042","2042","巳"
"2043","2048","璃"
"2044","2058","俺"
"2045","2063","臼"
"2046","2067","毀"
"2047","2071","脊"
"2048","2075","璽"
"2049","2078","妖"
"2050","2079","沃"
"2051","2088","稽"
"2052","2090","采"
"2053","2092","斬"
"2054","2101","巾"
"2055","2116","僅"
"2056","2121","侶"
"2057","2122","伎"
"2058","2133","凄"
"2059","2137","冶"
"2060","2144","刹"
"2061","2145","剥・剝"
"2062","2147","匂"
"2063","2148","勾"
"2064","2155","嘲"
"2065","2159","咽"
"2066","2164","喉"
"2067","2165","唾"
"2068","2169","呪"
"2069","2178","唄"
"2070","2179","叱"
"2071","2185","堆"
"2072","2190","填・塡"
"2073","2195","妬"
"2074","2202","嫉"
"2075","2214","塞"
"2076","2220","尻"
"2077","2227","崖"
"2078","2241","弥"
"2079","2248","挨"
"2080","2251","捻"
"2081","2254","拭"
"2082","2260","捉"
"2083","2261","拶"
"2084","2269","捗"
"2085","2280","憧"
"2086","2284","湧"
"2087","2296","沙"
"2088","2298","淫"
"2089","2301","氾"
"2090","2308","溺"
"2091","2316","汰"
"2092","2319","潰"
"2093","2327","汎"
"2094","2332","釜"
"2095","2344","狙"
"2096","2355","萎"
"2097","2358","蔽"
"2098","2368","芯"
"2099","2371","藍"
"2100","2373","苛"
"2101","2388","蓋"
"2102","2390","蔑"
"2103","2398","葛"
"2104","2422","遜"
"2105","2426","隙"
"2106","2437","曖"
"2107","2445","昧"
"2108","2450","旺"
"2109","2453","腎"
"2110","2454","股"
"2111","2460","臆"
"2112","2461","膝"
"2113","2464","肘"
"2114","2466","腺"
"2115","2467","腫"
"2116","2468","膳"
"2117","2472","枕"
"2118","2480","椅"
"2119","2481","柿"
"2120","2483","桁"
"2121","2498","梗"
"2122","2505","椎"
"2123","2507","柵"
"2124","2548","煎"
"2125","2555","瑠"
"2126","2556","斑"
"2127","2558","弄"
"2128","2567","玩"
"2129","2569","畏"
"2130","2577","痩"
"2131","2578","痕"
"2132","2582","瞭"
"2133","2583","眉"
"2134","2615","窟"
"2135","2624","裾"
"2136","2638","篭・籠"
"2137","2640","箸"
"2138","2670","綻"
"2139","2675","舷"
"2140","2687","蜂"
"2141","2699","罵"
"2142","2702","戴"
"2143","2709","謎"
"2144","2712","誰"
"2145","2715","詣"
"2146","2716","諦"
"2147","2717","詮"
"2148","2733","貌"
"2149","2736","貼"
"2150","2738","賂"
"2151","2742","蹴"
"2152","2748","酎"
"2153","2750","醒"
"2154","2752","麺"
"2155","2757","鍋"
"2156","2761","鍵"
"2157","2777","闇"
"2158","2788","頓"
"2159","2791","頃"
"2160","2792","頬・頰"
"2161","2795","顎"
"2162","2797","餌"
"2163","2802","餅"
"2164","2839","麓"
"2165","2841","冥"
"2166","2845","挫"
"2167","2847","遡"
"2168","2855","爽"
"2169","2858","勃"
"2170","2874","骸"
"2171","2882","戚"
"2172","2884","丼"
"2173","2887","畿"
"2174","2917","拳"
"2175","2928","阜"
"2176","2960","那"
"2177","2991","箋・䇳"
"2178","2997","彙"
"2179","3008","嗅"
"2180","3009","喩・喻"
"2181","3010","訃"
"2182","3011","楷"
"2183","3012","諧"
"2184","3013","錮"
"2185","3014","恣"
"2186","3015","惧"
"2187","3016","憬"
"2188","3017","拉"
"2189","3018","傲"
"2190","3019","踪"
"2191","3020","緻"
"2192","3021","璧"
"2193","3022","摯"
"2194","3023","貪"
"2195","3024","慄"
"2196","3025","辣"
"2197","3026","瘍"
"2198","3027","哺"
"2199","3030","鬱"
"2200","3029","羞"
"2201","2043","此"
"2202","2044","柴"
"2203","2045","砦"
"2204","2046","些"
"2205","2047","髭"
"2206","2049","禽"
"2207","2050","檎"
"2208","2051","憐"
"2209","2052","燐"
"2210","2053","麟"
"2211","2054","鱗"
"2212","2055","奄"
"2213","2056","庵"
"2214","2057","掩"
"2215","2059","悛"
"2216","2060","駿"
"2217","2061","峻"
"2218","2062","竣"
"2219","2064","舅"
"2220","2065","鼠"
"2221","2066","鑿"
"2222","2068","艘"
"2223","2069","犀"
"2224","2070","皐"
"2225","2072","畷"
"2226","2073","綴"
"2227","2074","爾"
"2228","2076","鎧"
"2229","2077","凱"
"2230","2080","呑"
"2231","2081","韮"
"2232","2082","籤"
"2233","2083","懺"
"2234","2084","芻"
"2235","2085","雛"
"2236","2086","趨"
"2237","2087","尤"
"2238","2089","厖"
"2239","2091","或"
"2240","2093","兎"
"2241","2094","也"
"2242","2095","尭"
"2243","2096","巴"
"2244","2097","甫"
"2245","2098","疋"
"2246","2099","菫"
"2247","2100","曼"
"2248","2102","云"
"2249","2103","卜"
"2250","2104","喬"
"2251","2105","莫"
"2252","2106","倭"
"2253","2107","侠"
"2254","2108","倦"
"2255","2109","佼"
"2256","2110","俄"
"2257","2111","佃"
"2258","2112","伶"
"2259","2113","仔"
"2260","2114","仇"
"2261","2115","伽"
"2262","2117","僻"
"2263","2118","儲"
"2264","2119","倖"
"2265","2120","僑"
"2266","2123","侃"
"2267","2124","倶"
"2268","2125","侭"
"2269","2126","佑"
"2270","2127","俣"
"2271","2128","傭"
"2272","2129","偲"
"2273","2130","脩"
"2274","2131","倅"
"2275","2132","做"
"2276","2134","冴"
"2277","2135","凋"
"2278","2136","凌"
"2279","2138","凛"
"2280","2139","凧"
"2281","2140","凪"
"2282","2141","夙"
"2283","2142","鳳"
"2284","2143","劉"
"2285","2146","剃"
"2286","2149","厭"
"2287","2150","雁"
"2288","2151","贋"
"2289","2152","厨"
"2290","2153","仄"
"2291","2154","哨"
"2292","2156","咎"
"2293","2157","囁"
"2294","2158","喋"
"2295","2160","嘩"
"2296","2161","噂"
"2297","2162","咳"
"2298","2163","喧"
"2299","2166","叩"
"2300","2167","嘘"
"2301","2168","啄"
"2302","2170","吠"
"2303","2171","吊"
"2304","2172","噛"
"2305","2173","叶"
"2306","2174","吻"
"2307","2175","吃"
"2308","2176","噺"
"2309","2177","噌"
"2310","2180","邑"
"2311","2181","呆"
"2312","2182","喰"
"2313","2183","埴"
"2314","2184","坤"
"2315","2186","壕"
"2316","2187","垢"
"2317","2188","坦"
"2318","2189","埠"
"2319","2191","堰"
"2320","2192","堵"
"2321","2193","嬰"
"2322","2194","姦"
"2323","2196","婢"
"2324","2197","婉"
"2325","2198","娼"
"2326","2199","妓"
"2327","2200","娃"
"2328","2201","姪"
"2329","2203","嬬"
"2330","2204","姥"
"2331","2205","姑"
"2332","2206","姐"
"2333","2207","嬉"
"2334","2208","孕"
"2335","2209","孜"
"2336","2210","宥"
"2337","2211","寓"
"2338","2212","宏"
"2339","2213","牢"
"2340","2215","宋"
"2341","2216","宍"
"2342","2217","屠"
"2343","2218","屁"
"2344","2219","屑"
"2345","2221","屡"
"2346","2222","屍"
"2347","2223","屏"
"2348","2224","嵩"
"2349","2225","崚"
"2350","2226","峨"
"2351","2228","嶺"
"2352","2229","嵌"
"2353","2230","嵯"
"2354","2231","帖"
"2355","2232","幡"
"2356","2233","幟"
"2357","2234","庖"
"2358","2235","廓"
"2359","2236","庇"
"2360","2237","鷹"
"2361","2238","庄"
"2362","2239","廟"
"2363","2240","彊"
"2364","2242","弛"
"2365","2243","粥"
"2366","2244","挽"
"2367","2245","撞"
"2368","2246","扮"
"2369","2247","掠"
"2370","2249","掴"
"2371","2250","捺"
"2372","2252","掻"
"2373","2253","撰"
"2374","2255","揃"
"2375","2256","捌"
"2376","2257","撹"
"2377","2258","摺"
"2378","2259","按"
"2379","2262","播"
"2380","2263","揖"
"2381","2264","托"
"2382","2265","捧"
"2383","2266","撚"
"2384","2267","挺"
"2385","2268","擾"
"2386","2270","撫"
"2387","2271","撒"
"2388","2272","擢"
"2389","2273","捷"
"2390","2274","抉"
"2391","2275","怯"
"2392","2276","惟"
"2393","2277","惚"
"2394","2278","怜"
"2395","2279","惇"
"2396","2281","恰"
"2397","2282","恢"
"2398","2283","悌"
"2399","2285","澪"
"2400","2286","洸"
"2401","2287","滉"
"2402","2288","漱"
"2403","2289","洲"
"2404","2290","洵"
"2405","2291","滲"
"2406","2292","洒"
"2407","2293","沐"
"2408","2294","泪"
"2409","2295","渾"
"2410","2297","涜"
"2411","2299","梁"
"2412","2300","澱"
"2413","2302","洛"
"2414","2303","汝"
"2415","2304","漉"
"2416","2305","瀕"
"2417","2306","濠"
"2418","2307","溌"
"2419","2309","湊"
"2420","2310","淋"
"2421","2311","浩"
"2422","2312","汀"
"2423","2313","鴻"
"2424","2314","潅"
"2425","2315","溢"
"2426","2317","湛"
"2427","2318","淳"
"2428","2320","渥"
"2429","2321","灘"
"2430","2322","汲"
"2431","2323","瀞"
"2432","2324","溜"
"2433","2325","渕"
"2434","2326","沌"
"2435","2328","濾"
"2436","2329","濡"
"2437","2330","淀"
"2438","2331","涅"
"2439","2333","斧"
"2440","2334","爺"
"2441","2335","猾"
"2442","2336","猥"
"2443","2337","狡"
"2444","2338","狸"
"2445","2339","狼"
"2446","2340","狽"
"2447","2341","狗"
"2448","2342","狐"
"2449","2343","狛"
"2450","2345","獅"
"2451","2346","狒"
"2452","2347","莨"
"2453","2348","茉"
"2454","2349","莉"
"2455","2350","苺"
"2456","2351","萩"
"2457","2352","藝"
"2458","2353","薙"
"2459","2354","蓑"
"2460","2356","苔"
"2461","2357","蕩"
"2462","2359","蔓"
"2463","2360","蓮"
"2464","2361","芙"
"2465","2362","蓉"
"2466","2363","蘭"
"2467","2364","芦"
"2468","2365","薯"
"2469","2366","菖"
"2470","2367","蕉"
"2471","2369","蕎"
"2472","2370","蕗"
"2473","2372","茄"
"2474","2374","蔭"
"2475","2375","蓬"
"2476","2376","芥"
"2477","2377","萌"
"2478","2378","葡"
"2479","2379","萄"
"2480","2380","蘇"
"2481","2381","蕃"
"2482","2382","苓"
"2483","2383","菰"
"2484","2384","蒙"
"2485","2385","茅"
"2486","2386","芭"
"2487","2387","苅"
"2488","2389","葱"
"2489","2391","葵"
"2490","2392","葺"
"2491","2393","蕊"
"2492","2394","茸"
"2493","2395","蒔"
"2494","2396","芹"
"2495","2397","苫"
"2496","2399","蒼"
"2497","2400","藁"
"2498","2401","蕪"
"2499","2402","藷"
"2500","2403","薮"
"2501","2404","蒜"
"2502","2405","蕨"
"2503","2406","蔚"
"2504","2407","茜"
"2505","2408","莞"
"2506","2409","蒐"
"2507","2410","菅"
"2508","2411","葦"
"2509","2412","迪"
"2510","2413","辿"
"2511","2414","這"
"2512","2415","迂"
"2513","2416","遁"
"2514","2417","逢"
"2515","2418","遥"
"2516","2419","遼"
"2517","2420","逼"
"2518","2421","迄"
"2519","2423","逗"
"2520","2424","郁"
"2521","2425","鄭"
"2522","2427","隈"
"2523","2428","憑"
"2524","2429","惹"
"2525","2430","悉"
"2526","2431","忽"
"2527","2432","惣"
"2528","2433","愈"
"2529","2434","恕"
"2530","2435","昴"
"2531","2436","晋"
"2532","2438","晟"
"2533","2439","暈"
"2534","2440","暉"
"2535","2441","旱"
"2536","2442","晏"
"2537","2443","晨"
"2538","2444","晒"
"2539","2446","晃"
"2540","2447","曝"
"2541","2448","曙"
"2542","2449","昂"
"2543","2451","昏"
"2544","2452","晦"
"2545","2455","膿"
"2546","2456","腑"
"2547","2457","胱"
"2548","2458","胚"
"2549","2459","肛"
"2550","2462","脆"
"2551","2463","肋"
"2552","2465","腔"
"2553","2469","肱"
"2554","2470","胡"
"2555","2471","楓"
"2556","2473","楊"
"2557","2474","椋"
"2558","2475","榛"
"2559","2476","櫛"
"2560","2477","槌"
"2561","2478","樵"
"2562","2479","梯"
"2563","2482","柑"
"2564","2484","杭"
"2565","2485","柊"
"2566","2486","柚"
"2567","2487","椀"
"2568","2488","栂"
"2569","2489","柾"
"2570","2490","榊"
"2571","2491","樫"
"2572","2492","槙"
"2573","2493","楢"
"2574","2494","橘"
"2575","2495","桧"
"2576","2496","棲"
"2577","2497","栖"
"2578","2499","桔"
"2579","2500","杜"
"2580","2501","杷"
"2581","2502","梶"
"2582","2503","杵"
"2583","2504","杖"
"2584","2506","樽"
"2585","2508","櫓"
"2586","2509","橿"
"2587","2510","杓"
"2588","2511","李"
"2589","2512","棉"
"2590","2513","楯"
"2591","2514","榎"
"2592","2515","樺"
"2593","2516","槍"
"2594","2517","柘"
"2595","2518","梱"
"2596","2519","枇"
"2597","2520","樋"
"2598","2521","橇"
"2599","2522","槃"
"2600","2523","栞"
"2601","2524","椰"
"2602","2525","檀"
"2603","2526","樗"
"2604","2527","槻"
"2605","2528","椙"
"2606","2529","彬"
"2607","2530","桶"
"2608","2531","楕"
"2609","2532","樒"
"2610","2533","毬"
"2611","2534","燿"
"2612","2535","燎"
"2613","2536","炬"
"2614","2537","焚"
"2615","2538","灸"
"2616","2539","燭"
"2617","2540","煽"
"2618","2541","煤"
"2619","2542","煉"
"2620","2543","燦"
"2621","2544","灼"
"2622","2545","烙"
"2623","2546","焔"
"2624","2547","熔"
"2625","2549","烹"
"2626","2550","牽"
"2627","2551","牝"
"2628","2552","牡"
"2629","2553","瑶"
"2630","2554","琳"
"2631","2557","琉"
"2632","2559","瑳"
"2633","2560","琢"
"2634","2561","珊"
"2635","2562","瑚"
"2636","2563","瑞"
"2637","2564","珪"
"2638","2565","玖"
"2639","2566","瑛"
"2640","2568","玲"
"2641","2570","畢"
"2642","2571","畦"
"2643","2572","痒"
"2644","2573","痰"
"2645","2574","疹"
"2646","2575","痔"
"2647","2576","癌"
"2648","2579","痺"
"2649","2580","眸"
"2650","2581","眩"
"2651","2584","雉"
"2652","2585","矩"
"2653","2586","磐"
"2654","2587","碇"
"2655","2588","碧"
"2656","2589","硯"
"2657","2590","砥"
"2658","2591","碗"
"2659","2592","碍"
"2660","2593","碩"
"2661","2594","磯"
"2662","2595","砺"
"2663","2596","碓"
"2664","2597","禦"
"2665","2598","祷"
"2666","2599","祐"
"2667","2600","祇"
"2668","2601","祢"
"2669","2602","禄"
"2670","2603","禎"
"2671","2604","秤"
"2672","2605","黍"
"2673","2606","禿"
"2674","2607","稔"
"2675","2608","稗"
"2676","2609","穣"
"2677","2610","稜"
"2678","2611","稀"
"2679","2612","穆"
"2680","2613","窺"
"2681","2614","窄"
"2682","2616","穿"
"2683","2617","竃"
"2684","2618","竪"
"2685","2619","颯"
"2686","2620","站"
"2687","2621","靖"
"2688","2622","妾"
"2689","2623","衿"
"2690","2625","袷"
"2691","2626","袴"
"2692","2627","襖"
"2693","2628","笙"
"2694","2629","筏"
"2695","2630","簾"
"2696","2631","箪"
"2697","2632","竿"
"2698","2633","箆"
"2699","2634","箔"
"2700","2635","笥"
"2701","2636","箭"
"2702","2637","筑"
"2703","2639","篠"
"2704","2641","纂"
"2705","2642","竺"
"2706","2643","箕"
"2707","2644","笈"
"2708","2645","篇"
"2709","2646","筈"
"2710","2647","簸"
"2711","2648","粕"
"2712","2649","糟"
"2713","2650","糊"
"2714","2651","籾"
"2715","2652","糠"
"2716","2653","糞"
"2717","2654","粟"
"2718","2655","繋"
"2719","2656","綸"
"2720","2657","絨"
"2721","2658","絆"
"2722","2659","緋"
"2723","2660","綜"
"2724","2661","紐"
"2725","2662","紘"
"2726","2663","纏"
"2727","2664","絢"
"2728","2665","繍"
"2729","2666","紬"
"2730","2667","綺"
"2731","2668","綾"
"2732","2669","絃"
"2733","2671","縞"
"2734","2672","綬"
"2735","2673","紗"
"2736","2674","舵"
"2737","2676","聯"
"2738","2677","聡"
"2739","2678","聘"
"2740","2679","耽"
"2741","2680","耶"
"2742","2681","蚤"
"2743","2682","蟹"
"2744","2683","蛋"
"2745","2684","蟄"
"2746","2685","蝿"
"2747","2686","蟻"
"2748","2688","蝋"
"2749","2689","蝦"
"2750","2690","蛸"
"2751","2691","螺"
"2752","2692","蝉"
"2753","2693","蛙"
"2754","2694","蛾"
"2755","2695","蛤"
"2756","2696","蛭"
"2757","2697","蛎"
"2758","2698","罫"
"2759","2700","袈"
"2760","2701","裟"
"2761","2703","截"
"2762","2704","哉"
"2763","2705","詢"
"2764","2706","諄"
"2765","2707","讐"
"2766","2708","諌"
"2767","2710","諒"
"2768","2711","讃"
"2769","2713","訊"
"2770","2714","訣"
"2771","2718","詑"
"2772","2719","誼"
"2773","2720","謬"
"2774","2721","詫"
"2775","2722","諏"
"2776","2723","諺"
"2777","2724","誹"
"2778","2725","謂"
"2779","2726","諜"
"2780","2727","註"
"2781","2728","譬"
"2782","2729","轟"
"2783","2730","輔"
